epoch,train_loss,train_acc,train_fscore,eval_loss,eval_acc,eval_fscore,loss_task,loss_ce_t,loss_ce_a,loss_kl_t,loss_kl_a,total_loss
1,102.4751,19.66,19.99,57.8816,6.08,5.23,6.8138747215271,5.598437786102295,8.709575653076172,26.387542724609375,30.476430892944336,77.9858627319336
2,51.1716,14.16,13.7,28.4681,32.44,30.93,4.13245964050293,3.4591851234436035,4.316619873046875,13.357809066772461,10.223576545715332,35.48965072631836
3,24.2265,33.16,31.19,14.0937,45.25,39.61,3.3520987033843994,1.4598172903060913,1.3294633626937866,5.926141738891602,3.559680223464966,15.627201080322266
4,18.7427,35.54,30.26,12.2889,35.07,31.97,3.3125641345977783,1.5622079372406006,1.641305685043335,3.745612621307373,4.471282958984375,14.7329740524292
5,14.9506,29.29,27.06,9.8251,34.98,31.83,1.9067012071609497,0.7327391505241394,1.3045501708984375,2.568531036376953,2.900360107421875,9.412881851196289
6,11.3933,37.17,32.43,7.3742,46.22,35.11,2.7843549251556396,0.8671797513961792,1.2424312829971313,1.6540932655334473,2.610518455505371,9.158576965332031
7,8.7987,43.37,33.84,5.9802,52.67,42.84,2.335993766784668,0.7851309180259705,1.1356587409973145,1.2322907447814941,1.8088057041168213,7.297880172729492
8,7.9482,42.88,35.71,5.8566,42.9,35.11,1.752034068107605,0.6993536353111267,0.9574708938598633,1.1977860927581787,1.6350637674331665,6.241708755493164
9,7.3113,36.12,31.25,4.9686,43.82,37.66,1.1223505735397339,0.4229205846786499,1.0134327411651611,0.9923545718193054,1.3046265840530396,4.855685234069824
10,6.3755,35.28,30.66,4.427,43.41,37.02,1.0719009637832642,0.438809871673584,1.180503487586975,0.8035367131233215,2.1721575260162354,5.666908264160156
11,7.0606,40.12,33.65,3.8197,51.15,42.3,1.0511935949325562,0.5090801119804382,0.7139031291007996,0.5918454527854919,1.0613759756088257,3.927398204803467
12,5.4838,43.02,35.44,3.607,47.6,39.07,0.7352133393287659,0.40840598940849304,0.5786744356155396,0.459191232919693,1.0936064720153809,3.2750916481018066
13,5.1148,36.19,31.09,3.2798,43.32,40.73,1.7169082164764404,0.44148990511894226,1.3146238327026367,0.6082908511161804,4.8319926261901855,8.913305282592773
14,4.8836,32.2,30.73,3.4228,39.22,35.43,0.987629771232605,0.4798210859298706,0.8136261105537415,0.36942100524902344,1.2704006433486938,3.9208984375
15,4.6764,35.85,33.66,3.1451,45.85,42.45,0.9439813494682312,0.4494915306568146,0.7555270791053772,0.36611539125442505,1.0666413307189941,3.581756591796875
16,4.6264,38.73,35.97,3.0337,43.41,40.02,0.9943190813064575,0.4423949718475342,0.7641234993934631,0.3458110988140106,0.9109461307525635,3.457594871520996
17,4.3964,35.29,32.32,3.0096,40.51,36.6,0.9482844471931458,0.40424227714538574,0.6825761198997498,0.2924903333187103,0.8161516785621643,3.143744945526123
18,4.101,35.65,32.71,2.9222,41.06,38.0,0.852506697177887,0.4299110770225525,0.7675689458847046,0.30001819133758545,0.8261152505874634,3.1761200428009033
