epoch,train_loss,train_acc,train_fscore,eval_loss,eval_acc,eval_fscore,loss_task,loss_ce_t,loss_ce_a,loss_kl_t,loss_kl_a,total_loss
1,0.2967,13.09,5.4,0.2916,11.24,4.53,0.0,0.2929318845272064,0.0,0.0,0.0,0.2929318845272064
2,0.287,14.19,8.66,0.276,19.31,18.6,0.0,0.2780507504940033,0.0,0.0,0.0,0.2780507504940033
3,0.2755,24.42,23.81,0.2672,33.04,31.45,0.0,0.2713419795036316,0.0,0.0,0.0,0.2713419795036316
4,0.2643,34.29,30.58,0.2541,39.86,36.48,0.0,0.2678983211517334,0.0,0.0,0.0,0.2678983211517334
5,0.2555,41.47,35.11,0.2477,49.95,41.52,0.0,0.24317967891693115,0.0,0.0,0.0,0.24317967891693115
6,0.2535,44.72,33.85,0.2474,49.17,36.09,0.0,0.264985591173172,0.0,0.0,0.0,0.264985591173172
7,0.2452,48.46,34.44,0.2387,52.49,37.83,0.0,0.2177673876285553,0.0,0.0,0.0,0.2177673876285553
8,0.236,51.53,36.19,0.2276,55.25,40.29,0.0,0.2513023912906647,0.0,0.0,0.0,0.2513023912906647
9,0.2377,50.46,34.55,0.2304,54.24,38.7,0.0,0.23262670636177063,0.0,0.0,0.0,0.23262670636177063
10,0.2335,50.65,34.46,0.2273,52.76,36.86,0.0,0.24551048874855042,0.0,0.0,0.0,0.24551048874855042
11,0.2267,54.25,38.57,0.2101,58.39,43.3,0.0,0.24444155395030975,0.0,0.0,0.0,0.24444155395030975
12,0.2339,51.34,35.08,0.2277,52.76,36.62,0.0,0.23678794503211975,0.0,0.0,0.0,0.23678794503211975
13,0.2352,50.63,34.13,0.2097,59.49,44.43,0.0,0.28252360224723816,0.0,0.0,0.0,0.28252360224723816
14,0.2388,48.24,31.47,0.2168,55.85,40.06,0.0,0.21009021997451782,0.0,0.0,0.0,0.21009021997451782
15,0.2274,52.68,36.45,0.2279,54.56,38.57,0.0,0.25439321994781494,0.0,0.0,0.0,0.25439321994781494
16,0.2296,52.85,36.65,0.2074,60.14,45.2,0.0,0.23883436620235443,0.0,0.0,0.0,0.23883436620235443
17,0.2293,52.38,36.06,0.2176,55.94,40.17,0.0,0.2185395210981369,0.0,0.0,0.0,0.2185395210981369
18,0.2284,51.89,35.46,0.2187,56.91,41.32,0.0,0.24880121648311615,0.0,0.0,0.0,0.24880121648311615
19,0.2249,52.64,36.34,0.2246,53.78,37.61,0.0,0.2468367964029312,0.0,0.0,0.0,0.2468367964029312
20,0.2291,52.6,36.27,0.2105,59.26,44.1,0.0,0.2481611669063568,0.0,0.0,0.0,0.2481611669063568
21,0.2302,51.24,34.74,0.2122,56.13,40.36,0.0,0.2625502049922943,0.0,0.0,0.0,0.2625502049922943
22,0.2252,52.92,36.64,0.2193,55.16,39.22,0.0,0.2503010034561157,0.0,0.0,0.0,0.2503010034561157
23,0.2287,51.56,35.09,0.2094,56.77,41.12,0.0,0.2435854822397232,0.0,0.0,0.0,0.2435854822397232
24,0.2194,55.1,39.15,0.2157,55.44,39.54,0.0,0.2295067012310028,0.0,0.0,0.0,0.2295067012310028
25,0.2293,51.85,35.41,0.2109,57.14,41.56,0.0,0.2568306028842926,0.0,0.0,0.0,0.2568306028842926
26,0.2185,54.73,38.72,0.2043,59.91,44.9,0.0,0.25175291299819946,0.0,0.0,0.0,0.25175291299819946
27,0.2336,50.69,34.11,0.2,60.18,45.22,0.0,0.1963503658771515,0.0,0.0,0.0,0.1963503658771515
28,0.2307,51.01,34.46,0.2003,59.91,44.94,0.0,0.23372317850589752,0.0,0.0,0.0,0.23372317850589752
29,0.2351,50.07,33.41,0.2099,57.14,41.56,0.0,0.2530175745487213,0.0,0.0,0.0,0.2530175745487213
30,0.229,50.07,33.41,0.2163,56.5,40.83,0.0,0.23804247379302979,0.0,0.0,0.0,0.23804247379302979
31,0.2238,52.74,36.43,0.2125,59.26,44.14,0.0,0.22970134019851685,0.0,0.0,0.0,0.22970134019851685
32,0.2234,53.32,37.09,0.2106,57.42,41.89,0.0,0.2238692045211792,0.0,0.0,0.0,0.2238692045211792
33,0.2261,51.86,35.43,0.2155,55.99,40.19,0.0,0.23576417565345764,0.0,0.0,0.0,0.23576417565345764
34,0.2282,51.87,35.44,0.2088,57.51,42.0,0.0,0.23615361750125885,0.0,0.0,0.0,0.23615361750125885
35,0.2274,52.03,35.61,0.2187,55.44,39.54,0.0,0.25449755787849426,0.0,0.0,0.0,0.25449755787849426
36,0.2248,52.43,36.07,0.212,56.36,40.63,0.0,0.2149536907672882,0.0,0.0,0.0,0.2149536907672882
37,0.2288,51.79,35.34,0.2156,54.56,38.52,0.0,0.2621299922466278,0.0,0.0,0.0,0.2621299922466278
38,0.2316,49.49,32.76,0.208,58.99,43.77,0.0,0.24913792312145233,0.0,0.0,0.0,0.24913792312145233
39,0.2305,50.82,34.25,0.2124,56.96,41.34,0.0,0.2364589422941208,0.0,0.0,0.0,0.2364589422941208
40,0.2294,50.81,34.23,0.2041,58.48,43.16,0.0,0.18812833726406097,0.0,0.0,0.0,0.18812833726406097
41,0.2294,51.23,34.7,0.2165,56.18,40.41,0.0,0.25226834416389465,0.0,0.0,0.0,0.25226834416389465
42,0.2276,51.67,35.21,0.2205,54.75,38.74,0.0,0.2430708110332489,0.0,0.0,0.0,0.2430708110332489
43,0.232,49.43,32.71,0.2112,57.88,42.44,0.0,0.18892303109169006,0.0,0.0,0.0,0.18892303109169006
44,0.2223,53.49,37.28,0.2158,56.54,40.85,0.0,0.2667328119277954,0.0,0.0,0.0,0.2667328119277954
45,0.2274,52.05,35.64,0.2182,55.62,39.76,0.0,0.18779246509075165,0.0,0.0,0.0,0.18779246509075165
