epoch,train_loss,train_acc,train_fscore,eval_loss,eval_acc,eval_fscore,loss_task,loss_ce_t,loss_ce_a,loss_kl_t,loss_kl_a,total_loss
1,76.8773,21.74,23.7,33.3778,58.2,44.15,6.222833633422852,1.085809350013733,2.7524938583374023,6.26309061050415,19.376529693603516,35.70075607299805
2,33.9155,46.45,36.15,20.9663,17.1,16.91,3.4588942527770996,0.7191002368927002,2.4015064239501953,3.833664655685425,16.36948585510254,26.782649993896484
3,20.1625,23.26,23.39,10.5926,48.43,37.62,4.506540775299072,0.4974280595779419,2.333165407180786,2.6252920627593994,13.310042381286621,23.27246856689453
4,15.7631,45.6,34.87,12.3692,46.22,38.0,2.251673698425293,0.506229043006897,1.3179525136947632,1.7956690788269043,8.383611679077148,14.255136489868164
5,15.1471,41.31,33.95,7.7904,46.08,41.31,2.0461435317993164,0.4774603247642517,0.9377498030662537,1.5636420249938965,4.716317176818848,9.741312980651855
6,11.3186,36.64,32.94,7.499,47.1,36.23,1.4505813121795654,0.4381583034992218,0.9335773587226868,1.1576310396194458,4.442738056182861,8.422685623168945
7,10.8199,47.88,36.33,6.5561,48.66,35.37,5.824983596801758,0.5071805119514465,2.21457576751709,1.4422049522399902,9.534423828125,19.52336883544922
8,9.7903,42.38,34.79,6.0259,33.32,31.58,0.7790594696998596,0.3599621653556824,0.6061633229255676,0.8556698560714722,3.218034505844116,5.818889141082764
9,8.6061,33.56,30.65,4.8458,49.03,40.34,1.3833024501800537,0.34264203906059265,0.6738196015357971,0.735064685344696,2.899197816848755,6.034026622772217
10,7.6377,40.78,32.47,4.581,47.74,41.65,2.6647579669952393,0.35147660970687866,1.3425706624984741,0.8104619979858398,7.277931213378906,12.447198867797852
11,7.2305,37.63,32.9,4.5033,43.96,34.7,0.9537525773048401,0.3295362889766693,0.6696241497993469,0.6782100796699524,2.9916419982910156,5.622765064239502
12,7.0344,39.84,33.99,4.0379,48.25,41.87,0.9121314287185669,0.3041875958442688,0.6858507394790649,0.7134330868721008,3.08199405670166,5.697596549987793
13,6.591,41.57,34.11,3.8286,50.23,43.19,1.1337933540344238,0.3588131070137024,0.6605339646339417,0.5423582196235657,2.504112720489502,5.199611663818359
14,6.8921,36.09,32.55,3.9757,41.34,34.51,0.6633080840110779,0.3206915855407715,0.5171443819999695,0.5818420052528381,1.9478625059127808,4.030848503112793
15,6.6305,41.1,34.22,3.639,49.59,41.11,0.582684338092804,0.2768447995185852,0.5424298048019409,0.48911595344543457,2.163562297821045,4.0546369552612305
16,6.0205,41.29,33.84,3.4747,47.97,39.22,0.9310489892959595,0.3110143840312958,0.567126989364624,0.49125227332115173,2.1309120655059814,4.431354522705078
17,5.4586,40.39,33.11,3.3536,46.45,40.58,0.5375444889068604,0.296108216047287,0.4720086455345154,0.4017447233200073,1.7369258403778076,3.444331645965576
18,5.2402,41.57,34.82,3.3272,48.16,38.48,0.6915606260299683,0.3015821874141693,0.5226250886917114,0.4101286828517914,2.0275964736938477,3.953493118286133
19,5.2084,42.85,35.84,3.3437,39.08,34.03,2.1434402465820312,0.3215322494506836,2.276829242706299,0.6417854428291321,6.710555553436279,12.09414291381836
20,5.6033,39.69,33.06,3.0422,54.52,44.92,0.8239767551422119,0.30850180983543396,0.5297592878341675,0.4219304919242859,1.7782704830169678,3.862438917160034
21,4.6747,37.23,31.14,3.0324,47.6,40.48,1.1929429769515991,0.2832392752170563,0.9433115720748901,0.5382692217826843,5.1651177406311035,8.122880935668945
22,4.4193,43.28,34.16,3.1081,46.68,35.97,1.7314205169677734,0.3320285677909851,0.8364689946174622,0.6152737140655518,3.9775898456573486,7.492781639099121
23,4.5991,43.74,36.42,3.2609,46.08,37.44,0.554818332195282,0.29499122500419617,0.4278405010700226,0.3494771718978882,1.3662387132644653,2.993366003036499
24,4.7877,40.07,32.24,3.2424,47.14,38.96,0.5970507860183716,0.30482250452041626,0.4404059052467346,0.35886189341545105,1.3065447807312012,3.007685899734497
25,4.8591,41.29,33.21,2.9843,48.94,39.12,0.6077655553817749,0.28093335032463074,0.4033105969429016,0.31674280762672424,1.1417771577835083,2.7505292892456055
26,4.6314,36.54,31.59,2.9656,51.52,40.97,1.076434850692749,0.27654922008514404,1.545453429222107,0.5246352553367615,6.692665100097656,10.115737915039062
27,4.5639,47.95,37.08,2.9403,49.91,39.84,0.7249543070793152,0.2974267601966858,0.4555027186870575,0.3839845657348633,1.6944348812103271,3.5563032627105713
28,4.4539,41.85,35.33,2.8231,50.69,43.53,0.6990208625793457,0.29818958044052124,0.4591691195964813,0.3919631540775299,1.89836847782135,3.746711254119873
