epoch,train_loss,train_acc,train_fscore,eval_loss,eval_acc,eval_fscore,loss_task,loss_ce_t,loss_ce_a,loss_kl_t,loss_kl_a,total_loss
1,0.2641,36.35,34.23,0.2144,60.6,46.26,0.0,0.22302402555942535,0.0,0.0,0.0,0.22302402555942535
2,0.2292,51.14,34.87,0.2173,57.28,41.76,0.0,0.2492436021566391,0.0,0.0,0.0,0.2492436021566391
3,0.2297,53.72,37.55,0.2189,55.94,40.14,0.0,0.2634508013725281,0.0,0.0,0.0,0.2634508013725281
4,0.238,49.15,32.4,0.2216,55.62,39.76,0.0,0.24333415925502777,0.0,0.0,0.0,0.24333415925502777
5,0.2318,51.02,34.48,0.2014,61.38,46.69,0.0,0.24055476486682892,0.0,0.0,0.0,0.24055476486682892
6,0.2326,49.26,32.51,0.2129,56.22,40.47,0.0,0.23264357447624207,0.0,0.0,0.0,0.23264357447624207
7,0.2295,50.39,33.76,0.2201,55.35,39.44,0.0,0.2253493219614029,0.0,0.0,0.0,0.2253493219614029
8,0.2283,51.4,34.91,0.2118,55.25,39.33,0.0,0.179814413189888,0.0,0.0,0.0,0.179814413189888
9,0.2296,50.68,34.09,0.2149,56.04,40.25,0.0,0.24457557499408722,0.0,0.0,0.0,0.24457557499408722
10,0.2343,49.14,32.38,0.2015,60.14,45.17,0.0,0.2785354256629944,0.0,0.0,0.0,0.2785354256629944
11,0.2275,50.77,34.19,0.2233,52.53,36.19,0.0,0.2645551264286041,0.0,0.0,0.0,0.2645551264286041
12,0.231,50.96,34.4,0.2117,57.7,42.22,0.0,0.24668708443641663,0.0,0.0,0.0,0.24668708443641663
13,0.2314,50.43,33.81,0.2094,58.62,43.32,0.0,0.23861579596996307,0.0,0.0,0.0,0.23861579596996307
14,0.2286,50.41,33.79,0.2012,59.68,44.61,0.0,0.2298402637243271,0.0,0.0,0.0,0.2298402637243271
15,0.226,51.52,35.03,0.208,57.88,42.44,0.0,0.2287161499261856,0.0,0.0,0.0,0.2287161499261856
16,0.2314,49.4,32.66,0.2187,54.19,38.09,0.0,0.25595301389694214,0.0,0.0,0.0,0.25595301389694214
