epoch,train_loss,train_acc,train_fscore,eval_loss,eval_acc,eval_fscore,loss_task,loss_ce_t,loss_ce_a,loss_kl_t,loss_kl_a,total_loss
1,0.2967,13.09,5.4,0.2916,11.24,4.53,0.0,0.29295146465301514,0.0,0.0,0.0,0.29295146465301514
2,0.287,14.21,8.67,0.276,19.31,18.6,0.0,0.2780495584011078,0.0,0.0,0.0,0.2780495584011078
3,0.2756,24.39,23.78,0.2672,33.04,31.45,0.0,0.27137866616249084,0.0,0.0,0.0,0.27137866616249084
4,0.2644,34.31,30.62,0.2541,39.86,36.48,0.0,0.26789721846580505,0.0,0.0,0.0,0.26789721846580505
5,0.2555,41.43,35.09,0.2477,49.95,41.52,0.0,0.24318689107894897,0.0,0.0,0.0,0.24318689107894897
6,0.2535,44.72,33.85,0.2474,49.17,36.09,0.0,0.2650032341480255,0.0,0.0,0.0,0.2650032341480255
7,0.2452,48.44,34.43,0.2387,52.49,37.83,0.0,0.2177736908197403,0.0,0.0,0.0,0.2177736908197403
8,0.236,51.53,36.19,0.2276,55.25,40.29,0.0,0.2513040602207184,0.0,0.0,0.0,0.2513040602207184
9,0.2377,50.45,34.54,0.2305,54.24,38.7,0.0,0.23267503082752228,0.0,0.0,0.0,0.23267503082752228
10,0.2335,50.65,34.46,0.2273,52.76,36.86,0.0,0.24553795158863068,0.0,0.0,0.0,0.24553795158863068
11,0.2267,54.24,38.56,0.2101,58.39,43.3,0.0,0.2444361448287964,0.0,0.0,0.0,0.2444361448287964
12,0.2339,51.34,35.08,0.2277,52.76,36.62,0.0,0.2367764264345169,0.0,0.0,0.0,0.2367764264345169
13,0.2352,50.63,34.13,0.2097,59.49,44.43,0.0,0.2825114130973816,0.0,0.0,0.0,0.2825114130973816
14,0.2388,48.24,31.47,0.2168,55.85,40.06,0.0,0.21007435023784637,0.0,0.0,0.0,0.21007435023784637
15,0.2274,52.69,36.45,0.2279,54.56,38.57,0.0,0.2543674409389496,0.0,0.0,0.0,0.2543674409389496
16,0.2296,52.85,36.65,0.2074,60.14,45.2,0.0,0.23883327841758728,0.0,0.0,0.0,0.23883327841758728
17,0.2293,52.38,36.06,0.2176,55.94,40.17,0.0,0.2185392677783966,0.0,0.0,0.0,0.2185392677783966
18,0.2284,51.89,35.46,0.2187,56.91,41.32,0.0,0.24876917898654938,0.0,0.0,0.0,0.24876917898654938
19,0.2249,52.64,36.34,0.2246,53.78,37.61,0.0,0.24686218798160553,0.0,0.0,0.0,0.24686218798160553
20,0.2291,52.6,36.27,0.2105,59.26,44.1,0.0,0.2481805980205536,0.0,0.0,0.0,0.2481805980205536
21,0.2302,51.24,34.74,0.2122,56.13,40.36,0.0,0.262566477060318,0.0,0.0,0.0,0.262566477060318
22,0.2252,52.92,36.64,0.2193,55.16,39.22,0.0,0.25031885504722595,0.0,0.0,0.0,0.25031885504722595
23,0.2287,51.56,35.09,0.2095,56.77,41.12,0.0,0.24359172582626343,0.0,0.0,0.0,0.24359172582626343
24,0.2195,55.1,39.15,0.2158,55.44,39.54,0.0,0.2295190691947937,0.0,0.0,0.0,0.2295190691947937
25,0.2293,51.85,35.41,0.211,57.14,41.56,0.0,0.2568593919277191,0.0,0.0,0.0,0.2568593919277191
26,0.2185,54.73,38.72,0.2044,59.91,44.9,0.0,0.25177276134490967,0.0,0.0,0.0,0.25177276134490967
